index,textDisplay
304,世界からの視聴も入れればまだ実質1位なんだけどね日本で再生された回数となるとこのyoutubeの順位になるんだけど唱のコメント欄でも1位万歳と言うのは余り見かけないそれは仕組みを知ってる人が多いのとこれから勇者がどの位の勢いで来るか様子見だろな
305,なんだこの歌
306,それにしてもアイドルは民放で1度も披露してないな昔ならありえない事象だわそもそも歌番組が無いから無理かやはり紅白で生ライブと言う事になるんだろうなさぞかし盛り上がる事だろう
307,順位気にしてる人いるけど順位は勢いでsin.cosみたいな感じで変動が生じる5か月以上1位をキープしてる方が異常なんだけどねその代わり再生数は加算のみ再生数が全てではないんだけど今は簡単に破られる順位などの低次元な事よりも中辿り着けない高次元な億再生数アップを目標にした方が良い次の目標まで300万再生位まで接近
308,順位よりも高評価がまだ増えてることを喜びたい
309,今まで1位をキープしてたのすごすぎるしこの曲だいすき
310,ついに3位に落ちてしまった…
311,この曲は通しで聞いてこそですね
312,え...アイドル3位になってる😢
313,後音楽番組とかでも人気な音楽として紹介されるとしても脳汁ドバドバ出てきそう
314,すぐに1位に帰ってくると信じている
315,3位なの違和感あるなぁ
316,え人気3位…………
317,1:18私が大好きな部分
318,2:04私のお気に入りの部分の1つ
319,なんかあって調べたら一番上にアイドル出てきた
320,米津信者が勝手に米津の曲との勝負の土俵に上げてる曲
321,何だかんだ毎日聞いてしまう🤣
322,ついにadoさんに抜かれてしまった
323,"それでもまた君と君だけは言えずに居たけど君と君ルビーとアクア嗚呼,やっと言えたこれは絶対嘘じゃない愛してる今まで言えなかった…""娘と息子だけにはだから最後に言えて良かった"
324,無敵な笑顔で荒らすメディア
325,とうとうミュージックランキング下がっちゃったか😢でも4ヶ月以上も1位だったのすごいな笑
326,視聴回数桁が凄い
327,エムカの生歌やばかったです
328,1:00ゲッタン!
329,2:14ここで分かるけど愛が赤色で嘘が黒色ってことだから赤いアイは愛のアイ黒いアイは嘘のアイってことだよね
330,これはすべてのアニメのオープニングを上回ります素晴らしいです!!
331,1位じゃなくなったけど自分の中ではずっと1位の曲
332,記憶消して初めて聞いた時の感動をもう一度味わいたい
333,今年の紅白のトリはこれだな
334,5ヶ月も1位取り続けたのはすごいこと🙂最近出た曲に負けるのは普通のことでも5ヶ月もそれに耐えたのはすごい👏
335,サビだけ聞きにこようと思ったら気づいたら全部聞き終わってた引き込まれる小説のようなメロディ
336,沒人可以永遠第一偶像5個多月第一已經夠猛了再來就是破最速4億5億
337,3億2300万回おめでとう🎉
338,実質はまだ1位なんだけどな世界分を入れると当分1位が変わらないため日本のみでの再生数になったとかビルボードジャパンで行なった事をyoutubeもしている3位なんだけど本当は1位と言う悶感認めるしかないか
339,もうちょいで呪術廻戦超える!
340,約5ヶ月半人気1位だったのに人気3位になってしまった!😢
341,まあ多少感じるとこもあるが明日も聴くぜ
342,一位じゃなくなったけど来週勇者で再び一位を取ってくれると予想
343,松戸市役所
344,すごいお気に入りで気にっていますアニメ番もすごいいいです
345,一番星の生まれ変わり----自分のアイドル偶像の事は皆んなそう思うよね凄く巧みなキャッチーn
346,誰よりも強い一位以外認めない
