index,textDisplay
254,嘘は飛び切りの愛なんだよいつか本当の愛になる日を願ってもうとっくに本当の愛になってた筈だけど愛って目に見えないからはっきり分からないでもファンには嘘でも愛してるって言えるけどルビィとアクアには嘘になると怖くて言えない自分を刺して自分の命が消えそうなギリギリまでも目の前のファンを愛したいと思う愛と言わずしてなんと言うのか…なにより自分の子供見て全力の素で可愛いと笑顔になれる時点で大好きなんだよ
255,"間奏の所You're my savior, you're my saving grace(あなたは私の救世主あなたは私の救い/恵みです)"
256,居然3.4亿播放了
257,ヴォーカル様貴女の未来っぽいm(_ _)m
258,いくらちゃんて歌うまいなあ令和の歌姫
259,寝る前に聴くとベートーヴェンの第9同様に頭が冴えてしまうね寝る前は勇者の方が良いかも
260,某MADと某YouTuberから知って今日推しの子を最終回まで見ましたがタイトル回収とかヤバすぎましたしかもこの曲が1話の内容なんて…………こんな神曲作ってくれたYOASOBIには感謝ですありがとうございます愛してますそして2期も期待してます(是非2期もYOASOBIさんが担当してほしいな)
261,廻廻奇譚も3.3億再生達成したなJ-POPは最強だ
262,ロリ神といっつも一緒に聴いてる
263,ついに3.4億突破yoasobi凄すぎる
264,これだけは言える民放で生はまだ一度も披露した事はないNHKでさえも披露してないこれは紅白で生ライブ決定だろう盛り上がるぞ
265,本日の再生数は1027515回です先週の今日が1032143回なので先週比は99.6%です先週超えまでもう少しでしたね
266,これは嘘じゃない愛してる♬言われてみたいな愛されていないから・・・
267,すごい幸せいっぱいになるきょく
268,公開半年で3.4億……初動爆発力は他の曲を遥かに越してるどこまで続くかな推しの子第2期楽しみ
269,レコード大賞アイドル以外に何がある今年はアイドルが強すぎるしそれ以外が弱すぎるたとえ候補に上がったとしてもそれはもうお星様の引き立て役ABCとしてフリに使われるだけもう一度言うけどアイドルが強すぎる
270,神曲
271,3.42億再生おめでとう🎉🎉
272,今年の日本レコード大賞はアイドルに決まりだ‼️
273,さぁ明日はランキングが1つ上がるぞ4位→3位
274,久しぶりに動画みたら再生数エグチ
275,3:14アウトロ専用のメロディーラインを入れるのってすごい挑戦的だと思うんだけどアイの物語はここで終わりだけど本編はここから始まるんですって感じがしてすごく好きなんですが共感してくれる人っていますかね
276,今東北に来てんだけど東北で聴くアイドルもまた良いわ
277,最近マンガの128話関連のコメントが多い控えてほしいまだ知らない人もいるんだからさ
278,最初から後半までは讃美歌的な感じだったんだけど3:16の辺りからポップな感じになってるんだよね本心をさらけ出した事でアイドル(偶像)という建前であり飾りを捨てたって事なんだろうか
279,名曲が多すぎるからおまかせを注文しても大丈夫なアーティスト(?)
280,明日もアイドル
281,聞き終わって浮かんでくる感想がこの曲いいなじゃなくてこの曲ヤバいななのは中に狂ってると思う
282,いぉヴぇあい
283,21世紀でこれまでで最も流行った曲はってインタビューされたらアイドルと答える
284,仮にこの四半世紀でレコード大賞に選ばれた曲同士でさらに上の賞を賭けた対決をしたとしてもアイドルがその中から選ばれるやろな
285,でも幾田はどうする
286,感情99点歌うま99点やね
287,去年はHabit今年はアイドルよ👀👀
288,最近深夜になったらアイドル踊り狂ってるんだけどチョー絶気持ちいい
289,YOASOBIのAyaseさん可愛い(*≧з≦)ですYOASOBIのAyaseさんikuraさんの2人の皆さんの歌🎤がキレキレで素晴らしいです😊🎵僕は毎日YOASOBIのAyaseさんikuraさんの2人の皆さんの歌🎤で元気と勇気を貰ってますYOASOBIのAyaseさんikuraさんの2人の皆さんありがとう(*▽*)YOASOBIのAyaseさんikuraさんの2人の皆さん夢に向かって頑張ってください👊😆🎵ずっとずっと応援してます👊😄📢
290,アニメに合いすぎている神曲
291,知らない内にえぐい事になってて草
292,再生回数アメリカの人口超えてて草
293,推しの子に旭山動物園参戦してほしい
294,資本経済は子宮の入り口当たってるぅ\\\
295,ええぇ人気ランキング4位なのー
296,成人式男性3人組も好き❤
297,2050年聴いてる人
298,コメント13万件おめでとう🎉
299,まふまふ方が好きです❤
300,テンポがいい
301,とうとう人気1位のミュージックビデオから落ちてしまった…
302,啊我最喜歡後面的愛してる
303,YOASOBIさん天才だーずっと聴いていられるー最高
304,推しの子が半年経っても流行っている理由3割この曲説
305,看來現在平日每日的再生數已經難超過100萬了看來這首歌也要沒落了連今年是否能4億也難保更別提追上打上花火或是lemon了😂
306,最後のアイシテルは泣ける
307,アイドルがテレビで紹介されると嬉しくて涙出そうになる
308,最後の愛してるで何回も泣いてしまう(_)ショックすぎて
309,6ヶ月で再生回数3.4億回って凄いな
310,学校の運動会でアイドルやってめちゃ嬉しかった
311,ラスサビはアイの言いたかったこと全部入れてるのまじ涙
312,#アイドル最高
314,ちょっと待ってゲッターが飛んでないやん!!
315,推しのアイ様❤
316,なんか中毒になりますよね😆
317,変な歌
318,2期のOP担当バカ重圧えぐいやん
319,すまない先生かっこいいです好き💖😊💓😊❤️
320,アニメ漫画見てないとわからないことだらけなんだなぁ…
321,0:48地面の反射に一瞬映るモノ作画ってのは不要なものは描かないつまりこれは必要な作画だったんだ???つまり僕は完璧で究極の変態❤PS.普通にこの曲大好きです❤️
322,高速SAからあちらこちらで聴こえるアイドルの楽曲聴いてるね隣のオバはん群青聴いてるわ
323,なんでよさっき1位だったのにado嫌い
324,0:03ルビーだな
325,曲は良かったですが残念ながら星野愛さんは亡くなってしまいました
326,0:03ここやっぱルビーじゃね目の色ピンクやし
327,素晴らしいなぁ✨😍
328,もう半年前なんか時間経つの早いな
329,りおちゃんが歌ってたねお父さんに説教してたけど確かマイクをヘアブラシにしてね😊
330,素晴らしい
331,朝もアイドル
332,三億行っちゃったよ…もう誰にもとめらんねぇよ…
333,途中の脚韻が聴き心地良すぎる
334,アイの生涯を語っている曲だよね
335,⒊4億再生おめでと
336,もう半年経ったことに驚き
337,再生数が天元突破してる凄い
338,今夜はコメントのバグが無く静かな航海になりそうだスヤスヤ……
339,久に見にきたら再生回数えぐいことなってるwww
340,3.41億再生おめでとう🎉🎉あと次まで900万だ
341,思ったんだけど色違う方ルビーやな
342,ワンチャン五億の夢見せてくれそうで震えてる
343,5億再生おめでとう(未来の記憶
344,本日の再生数は837753回です先週の今日が903376回なので先週比は92.7%です明日最後の100万再生を…………いやいつも通りの100万再生を拝みましょう
345,私はタイ人ですが今でもこの曲を何度も聞くのが好きですたとえ訳せなくてもでもとても綺麗なので聞いてみます
346,フリーレンだけど再生数が伸びないな何故だろう1日に平均100万再生ないんだよなアイドルのせいだとか言われそうYOASOBI的にはどちらでもいいんだろうがフリーレンファンは納得しないだろう何とか協力してやりたい物だが・・・
347,いつまでランキング載ってんねん神曲すぎたろ流石に
349,おいおいまだ4億再生いってないのかよ
350,将棋8冠王に勝利した世界一位のチェスプレイヤーごーごーマザーカールおじさん
351,Lemonは3億→4億まで128日前後かかりましたがアイドルはそれより早く行けるかな
352,年内4億かなり現実味を帯びてきたぞ
353,太好聽❤
354,間違いなく今年で1番聴かれた曲
355,知らぬ間に3.41億再生になってたわw
356,この曲から推しの子に入った人多いだろうなぁ
357,岡村さんのアイドルが下手すぎて交互に聴いちゃう
358,ヨアソビは日本の誇りです
359,日曜日にランキングが4位→3位に上がります確定情報です
360,日本中のアーティストがYOASOBIに注目してまっせ👍
361,0:01始まる頃から興奮する
362,星野アイって実際のアイドルで例えるなら誰なんだろう
363,四億おめでとう
364,君たちここに来るの1回目じゃ無いでしょ
365,何回も聞いても飽きない
366,神曲❤❤❤❤❤❤❤😊😊😊😊😊😊⭐⭐⭐⭐⭐💯💯💯💯✌️✌️✌️✌️👍👍👍👍🥰🥰🥰🥰🥰🥰🥰🥰
367,僕の推しはボンジョビですIT'MY LIFEの13億は超えられねえ
